n,DE_pattern,DE_pattern_index,replicate,method,sensitivity,fdr,number_of_true_discoveries_ct1,number_of_true_discoveries_ct2,number_of_true_discoveries_ct3,number_of_discoveries_ct1,number_of_discoveries_ct2,number_of_discoveries_ct3,power_ct1,power_ct2,power_ct3,type_I_error_ct1,type_I_error_ct2,type_I_error_ct3
50,2_2_1,2,1,TOAST_TPM_with_RIN,0.03375,0.105960264900662,135,0,0,151,0,0,0.2935,0.0895,0.0475,0.0475,0.050625,0.044875
50,2_2_1,2,1,TOAST_TPM_without_RIN,0.01175,0.0600000000000001,47,0,0,50,0,0,0.224,0.0545,0.034,0.032875,0.02975,0.02625
50,2_2_1,2,1,csSAM,0.01275,0.0727272727272728,51,0,0,55,0,0,NA,NA,NA,NA,NA,NA
50,2_0.5_1,3,1,CARseq_with_RIN,0.12,0.111111111111111,480,0,0,540,0,0,0.4365,0.0505,0.044,0.0515064383047881,0.0407550943867983,0.0470058757344668
50,2_0.5_1,3,1,CARseq_without_RIN,0.075,0.115044247787611,300,0,0,339,0,0,0.3855,0.0355,0.027,0.0819219671308493,0.0341236984067244,0.0348764270480492
50,2_0.5_1,3,1,CIBERSORTx_with_B_mode,0.2565,0.25164113785558,971,55,271,1034,55,282,0.5095,0.053,0.216,0.0372862859221535,0.0106126386878919,0.0345898922949461
50,2_0.5_1,3,1,CIBERSORTx_with_B_mode_without_RIN,0.2415,0.189597315436242,926,40,192,957,40,195,0.493,0.048,0.189,0.0269188795925791,0.00940665701881331,0.022162386081193
50,2_0.5_1,3,1,CIBERSORTx_without_B_mode,0.3205,0.259387637203928,1190,92,341,1272,95,364,0.632,0.0705,0.2585,0.042041127189642,0.00793111262179923,0.0354323480815128
50,2_0.5_1,3,1,CIBERSORTx_without_B_mode_without_RIN,0.296,0.202693602693603,1109,75,248,1153,78,254,0.6035,0.066,0.2305,0.0268088347296268,0.00634489009743938,0.0218468881953369
50,2_0.5_1,3,1,TOAST_with_RIN,0.036,0.213114754098361,144,0,0,183,0,0,0.3065,0.0495,0.0705,0.067875,0.044125,0.085
50,2_0.5_1,3,1,TOAST_without_RIN,0.02125,0.19047619047619,85,0,0,105,0,0,0.2565,0.038,0.056,0.081125,0.034125,0.06225
50,2_0.5_1,3,1,TOAST_TPM_with_RIN,0.0345,0.121019108280255,138,0,0,157,0,0,0.3105,0.0525,0.043,0.05575,0.046625,0.054625
50,2_0.5_1,3,1,TOAST_TPM_without_RIN,0.06825,0.348448687350835,273,0,0,419,0,0,0.3255,0.0325,0.079,0.1475,0.029125,0.079875
50,2_0.5_1,3,1,csSAM,0.01925,0.0941176470588235,77,0,0,85,0,0,NA,NA,NA,NA,NA,NA
50,1_2_1,4,1,CARseq_with_RIN,0.0055,0.153846153846154,0,11,0,1,12,0,0.0585,0.0965,0.0585,0.05625,0.042625,0.049125
50,1_2_1,4,1,CARseq_without_RIN,0.0235,0.510416666666667,0,47,0,0,96,0,0.0565,0.205,0.0335,0.0480721081622434,0.144341512268403,0.0277916875312969
50,1_2_1,4,1,CIBERSORTx_with_B_mode,0.025,0.358974358974359,11,50,13,14,51,13,0.0935,0.079,0.0635,0.0415029888983775,0.0267716535433071,0.0479846449136276
50,1_2_1,4,1,CIBERSORTx_with_B_mode_without_RIN,0.034,0.615819209039548,34,68,33,55,78,44,0.1155,0.1005,0.065,0.0925704526046114,0.0548556430446194,0.0827735124760077
50,1_2_1,4,1,CIBERSORTx_without_B_mode,0.015,0.53125,23,30,7,27,30,7,0.1155,0.0775,0.0775,0.0434393193013883,0.0227006786800843,0.0461211477151966
50,1_2_1,4,1,CIBERSORTx_without_B_mode_without_RIN,0.0265,0.592307692307692,44,53,6,69,55,6,0.144,0.0965,0.084,0.0929989550679206,0.0489117715890475,0.079702444208289
50,1_2_1,4,1,TOAST_with_RIN,0,NA,0,0,0,0,0,0,0.034,0.0715,0.052,0.034125,0.027875,0.045
50,1_2_1,4,1,TOAST_without_RIN,0.1535,0.756542426645519,0,307,0,1,1260,0,0.0615,0.289,0.043,0.05375,0.241125,0.034125
50,1_2_1,4,1,TOAST_TPM_with_RIN,5e-04,0,0,1,0,0,1,0,0.0535,0.0905,0.0605,0.042625,0.045625,0.04425
50,1_2_1,4,1,TOAST_TPM_without_RIN,0.0315,0.479338842975207,0,63,0,1,120,0,0.0635,0.211,0.04,0.05375,0.1585,0.03225
50,1_2_1,4,1,csSAM,0.006,0.368421052631579,0,12,1,0,17,2,NA,NA,NA,NA,NA,NA
50,3_1_1,1,1,CARseq_with_RIN,0.4275,0.0614709110867179,855,0,0,911,0,0,0.592,0.029,0.035,0.0503875968992248,0.0358839709927482,0.0400100025006252
50,3_1_1,1,1,CARseq_without_RIN,0.2925,0.0266222961730449,585,0,0,601,0,0,0.489,0.022,0.022,0.0306494159025248,0.0257505338525311,0.0237407360884311
50,3_1_1,1,1,CIBERSORTx_with_B_mode,0.4105,0.390949554896142,821,42,412,872,42,434,0.4125,0.033,0.2275,0.0281068058622767,0.0147313691507799,0.0356921807303487
50,3_1_1,1,1,CIBERSORTx_with_B_mode_without_RIN,0.409,0.359937402190923,818,35,381,851,35,392,0.412,0.032,0.2195,0.02148163019474,0.0103986135181976,0.0208376315246544
50,3_1_1,1,1,CIBERSORTx_without_B_mode,0.5175,0.40890919474586,1035,54,565,1100,55,596,0.5215,0.041,0.3075,0.0295087372238708,0.0142265907915158,0.036544227886057
50,3_1_1,1,1,CIBERSORTx_without_B_mode_without_RIN,0.516,0.385714285714286,1032,48,540,1079,49,552,0.5205,0.04,0.3005,0.0225848994394988,0.0103466114847387,0.0230509745127436
50,3_1_1,1,1,TOAST_with_RIN,0.115,0.0376569037656904,230,0,0,239,0,0,0.3925,0.0405,0.0395,0.036,0.038875,0.035375
50,3_1_1,1,1,TOAST_without_RIN,0.056,0.0260869565217391,112,0,0,115,0,0,0.3225,0.0255,0.0275,0.0225,0.023125,0.022375
50,3_1_1,1,1,TOAST_TPM_with_RIN,0.26,0.068100358422939,520,0,0,558,0,0,0.4555,0.0535,0.042,0.036,0.045125,0.041
50,3_1_1,1,1,TOAST_TPM_without_RIN,0.169,0.0342857142857143,338,0,0,350,0,0,0.391,0.0385,0.031,0.02275,0.033,0.02875
50,3_1_1,1,1,csSAM,0.119,0.0245901639344263,238,0,0,244,0,0,NA,NA,NA,NA,NA,NA
50,3_3_1,2,1,CARseq_with_RIN,0.2275,0.0945273631840796,814,96,0,902,103,0,0.575,0.177,0.047,0.0515,0.042125,0.05
50,3_3_1,2,1,CARseq_without_RIN,0.12175,0.039447731755424,455,32,0,475,32,0,0.45,0.1235,0.0285,0.0280596267067518,0.0189151947889265,0.0254290367029939
50,3_3_1,2,1,CIBERSORTx_with_B_mode,0.4565,0.163153070577452,1487,339,225,1603,347,232,0.749,0.1745,0.129,0.045557441992077,0.0158415841584158,0.0329208498715853
50,3_3_1,2,1,CIBERSORTx_with_B_mode_without_RIN,0.453,0.138783269961977,1475,337,219,1542,341,221,0.745,0.1745,0.1275,0.0285795132993775,0.0095049504950495,0.0242820452953537
50,3_3_1,2,1,CIBERSORTx_without_B_mode,0.4955,0.19299674267101,1632,350,330,1758,359,339,0.8225,0.183,0.1815,0.0441767068273092,0.0136669874879692,0.0285171102661597
50,3_3_1,2,1,CIBERSORTx_without_B_mode_without_RIN,0.49225,0.171993271656855,1620,349,321,1697,353,328,0.8195,0.1825,0.1805,0.0282463186077644,0.0082771896053898,0.0202788339670469
50,3_3_1,2,1,TOAST_with_RIN,0.03375,0.0357142857142857,87,48,0,88,52,0,0.292,0.19,0.039,0.033625,0.05125,0.03325
50,3_3_1,2,1,TOAST_without_RIN,0.01575,0.015625,41,22,0,41,23,0,0.245,0.14,0.023,0.02,0.0305,0.016875
50,3_3_1,2,1,TOAST_TPM_with_RIN,0.1385,0.0673400673400674,499,55,0,532,62,0,0.471,0.151,0.055,0.040875,0.0405,0.043
