n,DE_pattern,DE_pattern_index,replicate,method,sensitivity,fdr,number_of_true_discoveries_ct1,number_of_true_discoveries_ct2,number_of_true_discoveries_ct3,number_of_true_discoveries_ct4,number_of_true_discoveries_ct5,number_of_true_discoveries_ct6,number_of_discoveries_ct1,number_of_discoveries_ct2,number_of_discoveries_ct3,number_of_discoveries_ct4,number_of_discoveries_ct5,number_of_discoveries_ct6,power_ct1,power_ct2,power_ct3,power_ct4,power_ct5,power_ct6,type_I_error_ct1,type_I_error_ct2,type_I_error_ct3,type_I_error_ct4,type_I_error_ct5,type_I_error_ct6
50,3_1_1,1,210,CARseq_with_RIN,0.1585,0.0811594202898551,1,317,0,0,0,0,2,341,0,0,2,0,0.0435,0.379,0.04,0.0295,0.0325,0.0335,0.053125,0.05175,0.04475,0.031,0.04025,0.039375
50,3_1_1,1,210,CARseq_without_RIN,0.055,0.0178571428571429,0,110,0,0,0,0,0,112,0,0,0,0,0.026,0.2805,0.077,0.0335,0.024,0.0275,0.032625,0.0305,0.0955,0.031875,0.023,0.029625
50,3_1_1,1,210,TOAST_TPM_with_RIN,0.079,0.112359550561798,0,158,0,0,1,0,0,177,0,0,1,0,0.0535,0.3195,0.0595,0.058,0.062,0.049,0.050125,0.053875,0.05025,0.046,0.052625,0.05175
50,3_1_1,1,210,TOAST_TPM_without_RIN,0.029,0.0333333333333333,0,58,0,0,0,0,0,60,0,0,0,0,0.0285,0.2645,0.0915,0.047,0.04,0.0415,0.02625,0.03025,0.100375,0.040125,0.027375,0.040375
50,3_1_1,1,210,csSAM,0.057,0.088,0,114,4,0,0,1,0,118,6,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,4_1_1,1,201,CARseq_with_RIN,0.174,0.0695187165775401,0,348,0,0,0,0,0,374,0,0,0,0,0.0215,0.401,0.0285,0.031,0.039,0.045,0.03775,0.0425,0.037125,0.0355,0.037875,0.040875
50,4_1_1,1,201,CARseq_without_RIN,0.0475,0.020618556701031,0,95,0,0,0,0,0,97,0,0,0,0,0.0145,0.2815,0.0385,0.0285,0.0255,0.047,0.0202525315664458,0.0217527190898862,0.0551318914864358,0.0231278909863733,0.0223777972246531,0.0458807350918865
50,4_1_1,1,201,TOAST_TPM_with_RIN,0.0765,0.0783132530120482,0,153,0,0,0,0,0,166,0,0,0,0,0.036,0.329,0.055,0.0355,0.0505,0.0535,0.04775,0.045,0.047625,0.035625,0.043375,0.047625
50,4_1_1,1,201,TOAST_TPM_without_RIN,0.0285,0,0,57,0,0,0,0,0,57,0,0,0,0,0.0285,0.2605,0.076,0.0325,0.034,0.064,0.02425,0.026125,0.063875,0.02975,0.0325,0.05975
50,4_1_1,1,201,csSAM,0.0465,0.07,0,93,0,0,0,3,0,94,0,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,4_1_1,1,202,CARseq_with_RIN,0.1525,0.0701219512195121,0,305,1,1,0,0,0,323,1,4,0,0,0.033,0.378,0.0415,0.047,0.0405,0.04,0.0491311413926741,0.0473809226153269,0.0421302662832854,0.0516314539317415,0.0451306413301663,0.0411301412676585
50,4_1_1,1,202,CARseq_without_RIN,0.0995,0.0339805825242718,0,199,1,0,0,0,0,205,1,0,0,0,0.062,0.3275,0.0355,0.027,0.063,0.018,0.08625,0.04,0.030125,0.031875,0.055125,0.020625
50,4_1_1,1,202,TOAST_TPM_with_RIN,0.048,0.0588235294117647,0,96,0,0,0,0,0,102,0,0,0,0,0.0475,0.3045,0.0435,0.0515,0.0515,0.056,0.047375,0.044,0.045625,0.0485,0.046125,0.04725
